date,description,amount
2023-01-08,NEXO STARTUP VIREMENT,2200.00
2023-01-01,RATP NAVIGO MENSUEL,-85.00
2023-01-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-01-03,NOTION LABS,-8.00
2023-01-27,VIREMENT EPARGNE,-200.00
2023-02-08,NEXO STARTUP VIREMENT,2200.00
2023-02-01,RATP NAVIGO MENSUEL,-85.00
2023-02-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-02-03,NOTION LABS,-8.00
2023-02-05,FIGMA INC,-15.00
2023-02-27,VIREMENT EPARGNE,-200.00
2023-03-08,NEXO STARTUP VIREMENT,2400.00
2023-03-01,RATP NAVIGO MENSUEL,-85.00
2023-03-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-03-03,NOTION LABS,-8.00
2023-03-05,FIGMA INC,-15.00
2023-03-15,URSSAF COTISATIONS SOCIALES,-980.00
2023-03-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2023-03-27,VIREMENT EPARGNE,-200.00
2023-04-08,NEXO STARTUP VIREMENT,2400.00
2023-04-01,RATP NAVIGO MENSUEL,-85.00
2023-04-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-04-03,NOTION LABS,-8.00
2023-04-04,WEWORK COWORKING,-200.00
2023-04-05,FIGMA INC,-15.00
2023-04-27,VIREMENT EPARGNE,-250.00
2023-05-08,NEXO STARTUP VIREMENT,2600.00
2023-05-20,DESIGNCRAFT AGENCY FACTURE,2400.00
2023-05-01,RATP NAVIGO MENSUEL,-85.00
2023-05-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-05-03,NOTION LABS,-8.00
2023-05-04,WEWORK COWORKING,-200.00
2023-05-05,FIGMA INC,-15.00
2023-05-10,SFR MOBILE,-25.00
2023-05-27,VIREMENT EPARGNE,-300.00
2023-06-08,NEXO STARTUP VIREMENT,2600.00
2023-06-15,NOVA DIGITAL PAIEMENT,1100.00
2023-06-01,RATP NAVIGO MENSUEL,-85.00
2023-06-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-06-03,NOTION LABS,-8.00
2023-06-04,WEWORK COWORKING,-200.00
2023-06-05,FIGMA INC,-15.00
2023-06-07,OPENAI CHATGPT PLUS,-20.00
2023-06-10,SFR MOBILE,-25.00
2023-06-14,SNCF BILLET TGV,-45.00
2023-06-15,URSSAF COTISATIONS SOCIALES,-1050.00
2023-06-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2023-06-27,VIREMENT EPARGNE,-300.00
2023-07-08,NEXO STARTUP VIREMENT,2600.00
2023-07-15,NOVA DIGITAL PAIEMENT,1100.00
2023-07-01,RATP NAVIGO MENSUEL,-85.00
2023-07-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-07-03,NOTION LABS,-8.00
2023-07-04,WEWORK COWORKING,-200.00
2023-07-05,FIGMA INC,-15.00
2023-07-07,OPENAI CHATGPT PLUS,-20.00
2023-07-10,SFR MOBILE,-25.00
2023-07-27,VIREMENT EPARGNE,-300.00
2023-08-08,NEXO STARTUP VIREMENT,2000.00
2023-08-15,NOVA DIGITAL PAIEMENT,800.00
2023-08-01,RATP NAVIGO MENSUEL,-85.00
2023-08-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-08-03,NOTION LABS,-8.00
2023-08-04,WEWORK COWORKING,-200.00
2023-08-05,FIGMA INC,-15.00
2023-08-07,OPENAI CHATGPT PLUS,-20.00
2023-08-10,SFR MOBILE,-25.00
2023-08-27,VIREMENT EPARGNE,-150.00
2023-09-08,NEXO STARTUP VIREMENT,2600.00
2023-09-15,NOVA DIGITAL PAIEMENT,1100.00
2023-09-01,RATP NAVIGO MENSUEL,-85.00
2023-09-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-09-03,NOTION LABS,-8.00
2023-09-04,WEWORK COWORKING,-200.00
2023-09-05,FIGMA INC,-15.00
2023-09-07,OPENAI CHATGPT PLUS,-20.00
2023-09-10,SFR MOBILE,-25.00
2023-09-15,URSSAF COTISATIONS SOCIALES,-1120.00
2023-09-22,SNCF BILLET TGV,-38.00
2023-09-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2023-09-27,VIREMENT EPARGNE,-300.00
2023-10-08,NEXO STARTUP VIREMENT,2600.00
2023-10-15,NOVA DIGITAL PAIEMENT,1100.00
2023-10-01,RATP NAVIGO MENSUEL,-85.00
2023-10-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-10-03,NOTION LABS,-8.00
2023-10-04,WEWORK COWORKING,-200.00
2023-10-05,FIGMA INC,-15.00
2023-10-07,OPENAI CHATGPT PLUS,-20.00
2023-10-10,SFR MOBILE,-25.00
2023-10-27,VIREMENT EPARGNE,-300.00
2023-11-08,NEXO STARTUP VIREMENT,2800.00
2023-11-15,NOVA DIGITAL PAIEMENT,1100.00
2023-11-20,DESIGNCRAFT AGENCY FACTURE,2400.00
2023-11-01,RATP NAVIGO MENSUEL,-85.00
2023-11-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-11-03,NOTION LABS,-8.00
2023-11-04,WEWORK COWORKING,-200.00
2023-11-05,FIGMA INC,-15.00
2023-11-07,OPENAI CHATGPT PLUS,-20.00
2023-11-10,SFR MOBILE,-25.00
2023-11-27,VIREMENT EPARGNE,-400.00
2023-12-08,NEXO STARTUP VIREMENT,2800.00
2023-12-15,NOVA DIGITAL PAIEMENT,1100.00
2023-12-01,RATP NAVIGO MENSUEL,-85.00
2023-12-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2023-12-03,NOTION LABS,-8.00
2023-12-04,WEWORK COWORKING,-200.00
2023-12-05,FIGMA INC,-15.00
2023-12-07,OPENAI CHATGPT PLUS,-20.00
2023-12-10,SFR MOBILE,-25.00
2023-12-15,URSSAF COTISATIONS SOCIALES,-1200.00
2023-12-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2023-12-27,VIREMENT EPARGNE,-350.00
2024-01-08,NEXO STARTUP VIREMENT,2800.00
2024-01-15,NOVA DIGITAL PAIEMENT,1200.00
2024-01-01,RATP NAVIGO MENSUEL,-90.00
2024-01-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-01-03,NOTION LABS,-8.00
2024-01-04,WEWORK COWORKING,-200.00
2024-01-05,FIGMA INC,-15.00
2024-01-07,OPENAI CHATGPT PLUS,-20.00
2024-01-10,SFR MOBILE,-25.00
2024-01-27,VIREMENT EPARGNE,-350.00
2024-02-08,NEXO STARTUP VIREMENT,2800.00
2024-02-15,NOVA DIGITAL PAIEMENT,1200.00
2024-02-01,RATP NAVIGO MENSUEL,-90.00
2024-02-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-02-03,NOTION LABS,-8.00
2024-02-04,WEWORK COWORKING,-200.00
2024-02-05,FIGMA INC,-15.00
2024-02-07,OPENAI CHATGPT PLUS,-20.00
2024-02-10,SFR MOBILE,-25.00
2024-02-27,VIREMENT EPARGNE,-350.00
2024-03-08,NEXO STARTUP VIREMENT,3000.00
2024-03-15,NOVA DIGITAL PAIEMENT,1200.00
2024-03-01,RATP NAVIGO MENSUEL,-90.00
2024-03-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-03-03,NOTION LABS,-8.00
2024-03-04,WEWORK COWORKING,-200.00
2024-03-05,FIGMA INC,-15.00
2024-03-07,OPENAI CHATGPT PLUS,-20.00
2024-03-08,SNCF BILLET TGV,-58.00
2024-03-10,SFR MOBILE,-25.00
2024-03-15,URSSAF COTISATIONS SOCIALES,-1200.00
2024-03-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2024-03-27,VIREMENT EPARGNE,-350.00
2024-04-08,NEXO STARTUP VIREMENT,3000.00
2024-04-15,NOVA DIGITAL PAIEMENT,1400.00
2024-04-01,RATP NAVIGO MENSUEL,-90.00
2024-04-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-04-03,NOTION LABS,-8.00
2024-04-04,WEWORK COWORKING,-200.00
2024-04-05,FIGMA INC,-15.00
2024-04-07,OPENAI CHATGPT PLUS,-20.00
2024-04-10,SFR MOBILE,-25.00
2024-04-27,VIREMENT EPARGNE,-400.00
2024-05-08,NEXO STARTUP VIREMENT,3000.00
2024-05-15,NOVA DIGITAL PAIEMENT,1400.00
2024-05-01,RATP NAVIGO MENSUEL,-90.00
2024-05-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-05-03,NOTION LABS,-8.00
2024-05-04,WEWORK COWORKING,-200.00
2024-05-05,FIGMA INC,-15.00
2024-05-07,OPENAI CHATGPT PLUS,-20.00
2024-05-10,SFR MOBILE,-25.00
2024-05-27,VIREMENT EPARGNE,-400.00
2024-06-08,NEXO STARTUP VIREMENT,3000.00
2024-06-15,NOVA DIGITAL PAIEMENT,1400.00
2024-06-20,DESIGNCRAFT AGENCY FACTURE,2500.00
2024-06-01,RATP NAVIGO MENSUEL,-90.00
2024-06-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-06-03,NOTION LABS,-8.00
2024-06-04,WEWORK COWORKING,-200.00
2024-06-05,FIGMA INC,-15.00
2024-06-07,OPENAI CHATGPT PLUS,-20.00
2024-06-10,SFR MOBILE,-25.00
2024-06-15,URSSAF COTISATIONS SOCIALES,-1300.00
2024-06-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2024-06-27,VIREMENT EPARGNE,-450.00
2024-07-08,NEXO STARTUP VIREMENT,3000.00
2024-07-15,NOVA DIGITAL PAIEMENT,1400.00
2024-07-01,RATP NAVIGO MENSUEL,-90.00
2024-07-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-07-03,NOTION LABS,-8.00
2024-07-04,WEWORK COWORKING,-200.00
2024-07-05,FIGMA INC,-15.00
2024-07-07,OPENAI CHATGPT PLUS,-20.00
2024-07-10,SFR MOBILE,-25.00
2024-07-17,SNCF BILLET TGV,-62.00
2024-07-27,VIREMENT EPARGNE,-400.00
2024-08-08,NEXO STARTUP VIREMENT,2400.00
2024-08-15,NOVA DIGITAL PAIEMENT,1000.00
2024-08-01,RATP NAVIGO MENSUEL,-90.00
2024-08-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-08-03,NOTION LABS,-8.00
2024-08-04,WEWORK COWORKING,-200.00
2024-08-05,FIGMA INC,-15.00
2024-08-07,OPENAI CHATGPT PLUS,-20.00
2024-08-10,SFR MOBILE,-25.00
2024-08-27,VIREMENT EPARGNE,-200.00
2024-09-08,NEXO STARTUP VIREMENT,3000.00
2024-09-15,NOVA DIGITAL PAIEMENT,1400.00
2024-09-01,RATP NAVIGO MENSUEL,-90.00
2024-09-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-09-03,NOTION LABS,-8.00
2024-09-04,WEWORK COWORKING,-200.00
2024-09-05,FIGMA INC,-15.00
2024-09-07,OPENAI CHATGPT PLUS,-20.00
2024-09-10,SFR MOBILE,-25.00
2024-09-15,URSSAF COTISATIONS SOCIALES,-1350.00
2024-09-25,JULIEN LEGROS EXPERTISE COMPTABLE,-150.00
2024-09-27,VIREMENT EPARGNE,-400.00
2024-10-08,NEXO STARTUP VIREMENT,3000.00
2024-10-15,NOVA DIGITAL PAIEMENT,1400.00
2024-10-01,RATP NAVIGO MENSUEL,-90.00
2024-10-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-10-03,NOTION LABS,-8.00
2024-10-04,WEWORK COWORKING,-200.00
2024-10-05,FIGMA INC,-15.00
2024-10-07,OPENAI CHATGPT PLUS,-20.00
2024-10-09,SNCF BILLET TGV,-55.00
2024-10-10,SFR MOBILE,-25.00
2024-10-27,VIREMENT EPARGNE,-400.00
2024-11-08,NEXO STARTUP VIREMENT,3000.00
2024-11-15,NOVA DIGITAL PAIEMENT,1400.00
2024-11-01,RATP NAVIGO MENSUEL,-90.00
2024-11-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-11-03,NOTION LABS,-8.00
2024-11-04,WEWORK COWORKING,-200.00
2024-11-05,FIGMA INC,-15.00
2024-11-07,OPENAI CHATGPT PLUS,-20.00
2024-11-10,SFR MOBILE,-25.00
2024-11-27,VIREMENT EPARGNE,-400.00
2024-12-08,NEXO STARTUP VIREMENT,3000.00
2024-12-15,NOVA DIGITAL PAIEMENT,1200.00
2024-12-01,RATP NAVIGO MENSUEL,-90.00
2024-12-02,ADOBE SYSTEMS CREATIVE CLOUD,-54.99
2024-12-03,NOTION LABS,-8.00
2024-12-04,WEWORK COWORKING,-200.00
2024-12-05,FIGMA INC,-15.00
2024-12-07,OPENAI CHATGPT PLUS,-20.00
2024-12-10,SFR MOBILE,-25.00
