date,description,amount
2023-01-05,CLOUDBRIDGE AGENCY PAYMENT,3800.00
2023-01-02,GITHUB SUBSCRIPTION,-4.00
2023-01-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-01-05,DIGITALOCEAN DROPLET,-12.00
2023-01-10,O2 MOBILE UK,-18.00
2023-01-27,TRANSFER TO SAVINGS,-400.00
2023-02-05,CLOUDBRIDGE AGENCY PAYMENT,3800.00
2023-02-10,TECHFLOW SOLUTIONS INVOICE,2200.00
2023-02-02,GITHUB SUBSCRIPTION,-4.00
2023-02-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-02-05,DIGITALOCEAN DROPLET,-12.00
2023-02-10,O2 MOBILE UK,-18.00
2023-02-20,AMAZON WEB SERVICES,-38.50
2023-02-27,TRANSFER TO SAVINGS,-500.00
2023-03-05,CLOUDBRIDGE AGENCY PAYMENT,3800.00
2023-03-02,GITHUB SUBSCRIPTION,-4.00
2023-03-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-03-05,DIGITALOCEAN DROPLET,-12.00
2023-03-10,O2 MOBILE UK,-18.00
2023-03-15,HMRC SELF ASSESSMENT,-1800.00
2023-03-22,SAGEACCOUNTING.COM,-15.00
2023-03-27,TRANSFER TO SAVINGS,-300.00
2023-04-05,CLOUDBRIDGE AGENCY PAYMENT,3800.00
2023-04-10,TECHFLOW SOLUTIONS INVOICE,2200.00
2023-04-02,GITHUB SUBSCRIPTION,-4.00
2023-04-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-04-05,DIGITALOCEAN DROPLET,-12.00
2023-04-10,O2 MOBILE UK,-18.00
2023-04-17,AMAZON WEB SERVICES,-42.00
2023-04-27,TRANSFER TO SAVINGS,-500.00
2023-05-05,CLOUDBRIDGE AGENCY PAYMENT,3800.00
2023-05-02,GITHUB SUBSCRIPTION,-4.00
2023-05-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-05-05,DIGITALOCEAN DROPLET,-12.00
2023-05-07,OPENAI API USAGE,-25.00
2023-05-10,O2 MOBILE UK,-18.00
2023-05-27,TRANSFER TO SAVINGS,-350.00
2023-06-05,CLOUDBRIDGE AGENCY PAYMENT,3800.00
2023-06-10,TECHFLOW SOLUTIONS INVOICE,2400.00
2023-06-02,GITHUB SUBSCRIPTION,-4.00
2023-06-03,JETBRAINS ALL PRODUCTS PACK,-24.90
2023-06-05,DIGITALOCEAN DROPLET,-12.00
2023-06-07,OPENAI API USAGE,-30.00
2023-06-10,O2 MOBILE UK,-18.00
2023-06-15,AMAZON WEB SERVICES,-48.00
2023-06-15,HMRC SELF ASSESSMENT,-900.00
2023-06-22,SAGEACCOUNTING.COM,-15.00
2023-06-27,TRANSFER TO SAVINGS,-500.00
2023-07-05,CLOUDBRIDGE AGENCY PAYMENT,3800.00
2023-07-02,GITHUB SUBSCRIPTION,-4.00
