date,description,amount
2023-01-20,STUDIO LUMIERE MARIAGE,2800.00
2023-01-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-01-05,DROPBOX BUSINESS,-15.00
2023-01-10,FREE MOBILE,-19.99
2023-01-15,FNAC MATERIEL PHOTO,-380.00
2023-01-27,VIREMENT EPARGNE,-150.00
2023-02-18,AGENCE PRESSE LUMINOS,1200.00
2023-02-24,CORTEX CORPORATE EVENTS,3500.00
2023-02-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-02-05,DROPBOX BUSINESS,-15.00
2023-02-10,FREE MOBILE,-19.99
2023-02-27,VIREMENT EPARGNE,-300.00
2023-03-12,STUDIO LUMIERE MARIAGE,3200.00
2023-03-25,STUDIO LUMIERE MARIAGE,2800.00
2023-03-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-03-05,DROPBOX BUSINESS,-15.00
2023-03-10,FREE MOBILE,-19.99
2023-03-15,URSSAF COTISATIONS SOCIALES,-1400.00
2023-03-22,CABINET PHOTO EXPERTISE,-120.00
2023-03-27,VIREMENT EPARGNE,-400.00
2023-04-08,AGENCE PRESSE LUMINOS,1400.00
2023-04-15,STUDIO LUMIERE MARIAGE,3200.00
2023-04-22,CORTEX CORPORATE EVENTS,4200.00
2023-04-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-04-05,DROPBOX BUSINESS,-15.00
2023-04-10,FREE MOBILE,-19.99
2023-04-27,VIREMENT EPARGNE,-600.00
2023-05-10,STUDIO LUMIERE MARIAGE,3500.00
2023-05-20,STUDIO LUMIERE MARIAGE,3500.00
2023-05-28,MAGAZINE MODE ECLAT,1800.00
2023-05-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-05-05,DROPBOX BUSINESS,-15.00
2023-05-08,FNAC MATERIEL PHOTO,-220.00
2023-05-10,FREE MOBILE,-19.99
2023-05-27,VIREMENT EPARGNE,-700.00
2023-06-07,STUDIO LUMIERE MARIAGE,3500.00
2023-06-14,CORTEX CORPORATE EVENTS,4200.00
2023-06-21,STUDIO LUMIERE MARIAGE,3200.00
2023-06-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-06-05,DROPBOX BUSINESS,-15.00
2023-06-10,FREE MOBILE,-19.99
2023-06-15,URSSAF COTISATIONS SOCIALES,-1800.00
2023-06-22,CABINET PHOTO EXPERTISE,-120.00
2023-06-27,VIREMENT EPARGNE,-700.00
2023-07-06,STUDIO LUMIERE MARIAGE,3000.00
2023-07-20,AGENCE PRESSE LUMINOS,1400.00
2023-07-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-07-05,DROPBOX BUSINESS,-15.00
2023-07-10,FREE MOBILE,-19.99
2023-07-27,VIREMENT EPARGNE,-350.00
2023-08-05,STUDIO LUMIERE MARIAGE,1800.00
2023-08-02,ADOBE LIGHTROOM CREATIVE CLOUD,-54.99
2023-08-05,DROPBOX BUSINESS,-15.00
2023-08-10,FREE MOBILE,-19.99
2023-08-27,VIREMENT EPARGNE,-100.00
2023-09-09,CORTEX CORPORATE EVENTS,4500.00
2023-09-22,MAGAZINE MODE ECLAT,2000.00
