date,description,amount
2023-01-15,MERIDIAN PARTNERS CONSULTING,4500.00
2023-01-02,MICROSOFT 365,-12.50
2023-01-05,LINKEDIN PREMIUM,-39.99
2023-01-10,ORANGE MOBILE,-35.00
2023-01-20,VELIB MENSUEL,-37.00
2023-01-27,VIREMENT EPARGNE,-400.00
2023-02-12,ATLAS STRATEGY GROUP,6000.00
2023-02-02,MICROSOFT 365,-12.50
2023-02-05,LINKEDIN PREMIUM,-39.99
2023-02-10,ORANGE MOBILE,-35.00
2023-02-15,NOTION LABS,-16.00
2023-02-20,VELIB MENSUEL,-37.00
2023-02-27,VIREMENT EPARGNE,-600.00
2023-03-10,MERIDIAN PARTNERS CONSULTING,4500.00
2023-03-18,VERTEX CAPITAL ADVISORY,3200.00
2023-03-02,MICROSOFT 365,-12.50
2023-03-05,LINKEDIN PREMIUM,-39.99
2023-03-10,ORANGE MOBILE,-35.00
2023-03-15,NOTION LABS,-16.00
2023-03-15,URSSAF COTISATIONS SOCIALES,-2100.00
2023-03-20,VELIB MENSUEL,-37.00
2023-03-25,CABINET DUMONT COMPTABILITE,-200.00
2023-03-27,VIREMENT EPARGNE,-500.00
2023-04-15,ATLAS STRATEGY GROUP,7500.00
2023-04-02,MICROSOFT 365,-12.50
2023-04-05,LINKEDIN PREMIUM,-39.99
2023-04-10,ORANGE MOBILE,-35.00
2023-04-15,NOTION LABS,-16.00
2023-04-20,VELIB MENSUEL,-37.00
2023-04-27,VIREMENT EPARGNE,-800.00
2023-05-12,MERIDIAN PARTNERS CONSULTING,5000.00
2023-05-20,VERTEX CAPITAL ADVISORY,3200.00
2023-05-02,MICROSOFT 365,-12.50
2023-05-05,LINKEDIN PREMIUM,-39.99
2023-05-10,ORANGE MOBILE,-35.00
2023-05-15,NOTION LABS,-16.00
2023-05-20,VELIB MENSUEL,-37.00
2023-05-27,VIREMENT EPARGNE,-700.00
2023-06-10,ATLAS STRATEGY GROUP,6000.00
2023-06-22,NOVA CONSEIL SARL,4800.00
2023-06-02,MICROSOFT 365,-12.50
2023-06-05,LINKEDIN PREMIUM,-39.99
2023-06-10,ORANGE MOBILE,-35.00
2023-06-15,NOTION LABS,-16.00
2023-06-15,URSSAF COTISATIONS SOCIALES,-2400.00
2023-06-20,VELIB MENSUEL,-37.00
2023-06-22,SNCF BILLET TGV,-95.00
2023-06-25,CABINET DUMONT COMPTABILITE,-200.00
2023-06-27,VIREMENT EPARGNE,-900.00
2023-07-15,MERIDIAN PARTNERS CONSULTING,5000.00
2023-07-02,MICROSOFT 365,-12.50
2023-07-05,LINKEDIN PREMIUM,-39.99
2023-07-10,ORANGE MOBILE,-35.00
2023-07-15,NOTION LABS,-16.00
2023-07-20,VELIB MENSUEL,-37.00
2023-07-27,VIREMENT EPARGNE,-500.00
2023-08-08,NOVA CONSEIL SARL,4800.00
2023-08-02,MICROSOFT 365,-12.50
2023-08-05,LINKEDIN PREMIUM,-39.99
2023-08-10,ORANGE MOBILE,-35.00
2023-08-15,NOTION LABS,-16.00
2023-08-20,VELIB MENSUEL,-37.00
2023-08-27,VIREMENT EPARGNE,-500.00
2023-09-12,MERIDIAN PARTNERS CONSULTING,5000.00
2023-09-20,ATLAS STRATEGY GROUP,6500.00
2023-09-02,MICROSOFT 365,-12.50
2023-09-05,LINKEDIN PREMIUM,-39.99
2023-09-10,ORANGE MOBILE,-35.00
2023-09-15,NOTION LABS,-16.00
2023-09-15,URSSAF COTISATIONS SOCIALES,-2500.00
2023-09-20,VELIB MENSUEL,-37.00
2023-09-25,CABINET DUMONT COMPTABILITE,-200.00
2023-09-27,VIREMENT EPARGNE,-800.00
2023-10-14,VERTEX CAPITAL ADVISORY,3500.00
2023-10-25,NOVA CONSEIL SARL,5000.00
2023-10-02,MICROSOFT 365,-12.50
2023-10-05,LINKEDIN PREMIUM,-39.99
2023-10-10,ORANGE MOBILE,-35.00
2023-10-15,NOTION LABS,-16.00
2023-10-20,VELIB MENSUEL,-37.00
2023-10-27,VIREMENT EPARGNE,-700.00
